order_id,restaurant_type,order_size,distance_km,traffic_level,weather,prep_time_min,delivery_time_min
151,Fast Food,7,2.18,Low,Rainy,22,55.4
152,Fast Food,3,1.99,Low,Rainy,34,63.1
153,Fast Food,4,11.44,Medium,Rainy,37,96.1
154,Fast Food,1,3.71,Low,Clear,24,50.5
155,Fine Dining,6,0.91,Medium,Rainy,9,42.0
156,Fast Food,5,14.7,Medium,Rainy,39,114.1
157,Cafe,7,14.72,High,Rainy,23,102.0
158,Street Food,7,5.98,Low,Rainy,16,62.9
159,Fast Food,3,0.87,Low,Clear,30,58.0
160,Fine Dining,1,11.05,Low,Clear,23,68.6
161,Fine Dining,4,12.55,Medium,Clear,15,82.0
162,Fast Food,3,2.31,Low,Clear,24,43.0
163,Street Food,6,2.46,Medium,Rainy,13,41.9
164,Fast Food,1,12.42,Medium,Clear,24,77.3
165,Fine Dining,3,13.87,Low,Clear,31,89.3
166,Casual Dining,1,11.97,Low,Clear,9,48.3
167,Cafe,1,3.41,Low,Clear,14,35.6
168,Fine Dining,7,6.47,Low,Clear,13,40.0
169,Fast Food,4,9.21,Low,Clear,29,76.2
170,Cafe,7,2.82,Medium,Rainy,17,54.2
171,Fast Food,5,3.55,Medium,Clear,36,74.2
172,Fast Food,4,4.6,Low,Clear,12,49.2
173,Casual Dining,1,7.89,Medium,Clear,31,75.6
174,Cafe,3,7.91,Low,Clear,26,71.8
175,Cafe,6,12.31,Medium,Clear,32,96.5
176,Casual Dining,4,11.42,High,Clear,22,89.9
177,Fine Dining,5,13.75,High,Clear,27,106.9
178,Fast Food,1,12.58,Low,Clear,35,98.3
179,Street Food,6,4.18,Medium,Rainy,38,90.3
180,Fast Food,4,5.3,Medium,Clear,11,53.0
181,Fast Food,7,7.76,Low,Clear,9,52.7
182,Fine Dining,7,0.71,Medium,Clear,25,48.0
183,Fast Food,4,13.61,High,Stormy,10,102.2
184,Casual Dining,4,1.14,Low,Rainy,39,62.3
185,Casual Dining,4,5.18,Medium,Clear,27,68.1
186,Cafe,6,8.75,Medium,Clear,7,50.6
187,Street Food,7,8.01,Low,Clear,37,93.6
188,Fast Food,3,9.99,Low,Rainy,27,77.5
189,Fast Food,5,8.15,Low,Clear,20,67.0
190,Fine Dining,5,3.82,Low,Clear,29,60.2
191,Casual Dining,1,3.42,Low,Stormy,20,50.4
192,Street Food,2,13.66,Low,Clear,29,76.4
193,Cafe,3,4.33,Low,Clear,11,42.2
194,Casual Dining,7,4.57,Medium,Stormy,12,60.6
195,Cafe,1,6.49,Medium,Rainy,7,52.5
196,Fine Dining,1,2.52,Low,Rainy,9,36.3
197,Fine Dining,4,7.86,Low,Stormy,23,64.3
198,Fast Food,2,10.14,Low,Snowy,11,87.2
199,Street Food,7,11.9,Low,Stormy,26,96.6
200,Cafe,2,10.82,Low,Clear,30,86.0
201,Casual Dining,3,2.64,Medium,Clear,29,57.0
202,Fine Dining,2,7.11,Low,Clear,10,44.3
203,Fast Food,1,1.06,Low,Rainy,9,23.9
204,Fast Food,2,0.76,Medium,Clear,26,40.6
205,Cafe,2,6.88,Medium,Clear,35,72.1
206,Fine Dining,5,4.17,Medium,Clear,26,64.0
207,Street Food,7,10.41,High,Clear,15,86.7
208,Fine Dining,7,11.0,Low,Rainy,36,87.4
209,Cafe,1,13.48,High,Clear,21,87.1
210,Cafe,6,11.53,High,Rainy,26,114.8
211,Fine Dining,2,1.2,Low,Clear,20,43.0
212,Cafe,2,5.89,High,Clear,19,59.2
213,Fine Dining,4,4.46,Medium,Snowy,12,60.6
214,Casual Dining,7,6.1,High,Clear,7,59.2
215,Fine Dining,2,2.82,Medium,Clear,17,40.9
216,Fine Dining,7,1.92,Medium,Snowy,34,86.0
217,Cafe,2,8.05,Low,Clear,32,68.0
218,Cafe,5,10.95,Medium,Rainy,13,82.0
219,Fast Food,1,10.68,Low,Rainy,16,69.7
220,Fast Food,7,7.04,Low,Clear,29,76.3
221,Casual Dining,3,8.07,High,Clear,25,79.5
222,Fast Food,1,7.99,Low,Clear,23,58.0
223,Fine Dining,4,10.53,Medium,Clear,12,72.5
224,Cafe,1,1.19,Low,Clear,7,27.3
225,Fast Food,2,10.79,Low,Clear,26,73.5
226,Fast Food,4,8.94,Medium,Rainy,5,40.3
227,Casual Dining,1,3.37,Low,Rainy,23,54.0
228,Casual Dining,4,1.21,High,Rainy,25,53.9
229,Fine Dining,3,2.07,Low,Clear,17,37.2
230,Cafe,1,8.11,Low,Clear,31,60.3
231,Casual Dining,7,11.5,Low,Clear,21,70.4
232,Fast Food,7,5.35,Low,Snowy,24,70.6
233,Cafe,6,6.0,Low,Rainy,34,73.3
234,Cafe,2,14.05,Medium,Stormy,15,101.4
235,Fast Food,4,3.59,Medium,Clear,31,70.1
236,Casual Dining,6,2.0,Low,Clear,32,60.5
237,Fast Food,6,5.48,Low,Clear,30,62.9
238,Cafe,5,11.32,High,Clear,37,109.1
239,Street Food,4,9.58,Medium,Rainy,36,107.4
240,Street Food,6,6.53,Medium,Clear,29,67.5
241,Fine Dining,5,14.49,Medium,Rainy,28,95.1
242,Fast Food,6,11.16,Medium,Rainy,31,91.0
243,Fast Food,2,1.4,Medium,Clear,26,53.7
244,Fine Dining,3,11.3,High,Stormy,24,106.2
245,Fine Dining,5,0.85,Low,Clear,37,53.0
246,Fine Dining,3,9.93,Low,Rainy,9,58.1
247,Cafe,4,3.55,Low,Rainy,33,59.7
248,Fast Food,2,10.6,High,Clear,9,60.0
249,Cafe,5,4.99,Low,Clear,21,60.3
250,Fine Dining,4,13.16,Medium,Rainy,33,93.5
251,Fast Food,6,5.39,Medium,Clear,15,54.7
252,Cafe,7,9.49,Medium,Snowy,26,94.9
253,Cafe,1,4.65,Low,Clear,35,63.7
254,Fine Dining,4,13.8,Low,Clear,5,68.3
255,Fast Food,3,11.82,Low,Snowy,19,94.2
256,Fine Dining,2,4.03,Low,Clear,23,54.1
257,Fast Food,2,14.26,Low,Clear,14,81.8
258,Street Food,4,5.68,Medium,Rainy,13,50.2
259,Casual Dining,6,9.95,High,Clear,17,69.2
260,Casual Dining,1,11.27,Medium,Clear,30,88.4
261,Casual Dining,3,0.83,Medium,Clear,10,38.6
262,Fine Dining,4,14.41,Medium,Stormy,6,93.3
263,Street Food,4,5.49,Low,Clear,33,65.2
264,Fast Food,7,3.25,Low,Rainy,16,62.2
265,Cafe,2,12.84,Low,Clear,27,77.8
266,Fast Food,3,10.69,Medium,Clear,7,63.1
267,Cafe,1,1.76,High,Clear,15,37.2
268,Fast Food,2,2.2,Medium,Snowy,9,54.9
269,Street Food,4,10.87,Low,Clear,14,63.4
270,Cafe,2,1.58,Medium,Clear,10,32.4
271,Fine Dining,2,13.8,Medium,Clear,20,83.3
272,Fast Food,5,11.25,Medium,Clear,35,81.3
273,Fast Food,2,5.36,Medium,Clear,27,55.4
274,Cafe,6,5.76,Medium,Clear,34,83.4
275,Fine Dining,2,7.84,Medium,Clear,24,64.6
276,Fine Dining,6,5.73,Medium,Rainy,29,75.6
277,Street Food,3,11.86,High,Clear,39,102.6
278,Fine Dining,2,14.63,Medium,Clear,9,71.4
279,Fine Dining,1,8.98,Medium,Clear,7,44.5
280,Fine Dining,6,6.97,Medium,Clear,38,83.5
281,Casual Dining,6,3.73,High,Clear,16,70.0
282,Street Food,4,9.97,Medium,Clear,31,84.0
283,Fast Food,3,10.44,Medium,Rainy,9,64.7
284,Cafe,2,10.44,Low,Clear,26,71.5
285,Fast Food,7,0.89,High,Clear,8,41.4
286,Street Food,1,13.54,Medium,Clear,32,91.0
287,Cafe,4,5.4,Medium,Rainy,11,45.6
288,Street Food,3,11.29,High,Clear,38,110.4
289,Fine Dining,6,11.52,High,Clear,6,64.6
290,Cafe,1,9.93,High,Clear,13,68.9
291,Fine Dining,2,6.23,Low,Stormy,19,61.4
292,Fast Food,7,9.32,Medium,Clear,35,88.6
293,Fast Food,5,1.08,Low,Clear,19,37.4
294,Cafe,5,11.55,Low,Clear,37,98.0
295,Cafe,3,1.94,High,Rainy,35,81.0
296,Street Food,7,6.25,High,Clear,31,100.7
297,Street Food,1,2.0,Medium,Rainy,6,32.5
298,Fine Dining,4,12.64,Low,Stormy,13,77.0
299,Cafe,1,8.48,Low,Clear,5,45.6
300,Fast Food,7,10.52,Medium,Clear,23,83.3
301,Street Food,6,10.4,Low,Clear,13,65.3
302,Street Food,5,12.7,Medium,Clear,6,63.1
303,Fast Food,3,2.42,Medium,Rainy,5,37.9
304,Street Food,2,10.07,High,Clear,16,87.8
305,Fine Dining,1,8.84,Low,Clear,30,69.2
306,Cafe,5,0.95,Low,Clear,14,32.8
307,Fast Food,4,3.42,High,Stormy,5,55.9
308,Cafe,3,4.38,Medium,Clear,5,33.3
309,Street Food,2,1.55,Low,Clear,35,60.7
310,Street Food,1,5.64,Low,Clear,15,37.5
311,Fast Food,4,0.89,High,Rainy,9,51.2
312,Fine Dining,2,8.52,Medium,Clear,39,92.4
313,Casual Dining,6,3.57,High,Clear,15,60.6
314,Fast Food,5,4.66,Low,Snowy,8,66.7
315,Casual Dining,6,13.7,Medium,Clear,25,90.3
316,Casual Dining,5,7.79,Medium,Clear,32,81.5
317,Fine Dining,4,4.4,Low,Rainy,12,39.1
318,Casual Dining,6,9.18,High,Clear,24,96.2
319,Casual Dining,5,3.42,Medium,Clear,25,54.7
320,Fine Dining,3,1.58,High,Clear,39,59.4
321,Casual Dining,4,0.8,High,Rainy,36,65.2
322,Casual Dining,5,14.3,Low,Snowy,9,87.2
323,Casual Dining,1,11.01,Medium,Clear,8,66.5
324,Fast Food,5,12.1,Medium,Clear,11,68.3
325,Fast Food,6,14.72,Medium,Clear,38,105.7
326,Fast Food,3,14.01,Medium,Clear,24,96.9
327,Fine Dining,2,11.19,Medium,Rainy,11,67.6
328,Street Food,2,10.56,Low,Rainy,28,79.2
329,Casual Dining,5,5.38,Medium,Clear,25,69.4
330,Casual Dining,2,2.01,Low,Snowy,13,43.0
331,Fine Dining,5,8.82,Low,Clear,23,70.2
332,Casual Dining,3,8.86,High,Clear,24,76.5
333,Fast Food,2,14.31,Low,Stormy,32,100.6
334,Street Food,6,6.92,Low,Clear,36,83.9
335,Cafe,6,10.52,Low,Clear,38,78.0
336,Casual Dining,1,8.84,Medium,Clear,20,57.6
337,Fast Food,5,3.06,Low,Clear,21,56.2
338,Cafe,2,9.08,Medium,Clear,15,63.5
339,Street Food,6,8.33,Medium,Stormy,8,74.1
340,Cafe,7,7.66,Low,Clear,22,58.1
341,Fast Food,3,7.94,Medium,Clear,10,53.3
342,Cafe,3,2.88,Low,Clear,36,68.0
343,Fine Dining,7,7.22,Medium,Rainy,9,68.0
344,Cafe,7,9.28,Low,Clear,19,66.7
345,Casual Dining,1,7.6,Low,Rainy,20,58.0
346,Casual Dining,3,7.59,Low,Clear,21,61.6
347,Fine Dining,3,1.62,Low,Clear,19,49.9
348,Fast Food,2,3.27,Medium,Rainy,39,72.2
349,Casual Dining,5,5.15,Low,Clear,12,49.2
350,Street Food,4,6.58,Low,Clear,39,73.7
351,Casual Dining,3,9.11,Low,Rainy,31,74.7
352,Casual Dining,3,13.02,High,Clear,18,83.1
353,Fast Food,4,2.81,Medium,Snowy,27,67.8
354,Cafe,3,0.72,Low,Clear,24,42.9
355,Casual Dining,2,7.01,Low,Rainy,10,46.8
356,Fine Dining,2,6.77,High,Rainy,28,82.6
357,Cafe,4,8.5,Low,Clear,27,77.4
358,Street Food,6,12.58,High,Clear,16,94.7
359,Fast Food,3,12.13,Low,Clear,6,62.1
360,Street Food,6,1.95,Low,Snowy,31,81.7
361,Cafe,3,14.04,Medium,Rainy,36,100.6
362,Cafe,5,2.1,Medium,Clear,33,63.6
363,Cafe,3,9.7,High,Clear,37,103.8
364,Street Food,2,10.25,High,Clear,33,88.0
365,Cafe,1,10.36,Medium,Rainy,37,85.7
366,Street Food,7,4.35,Medium,Snowy,21,77.1
367,Cafe,1,5.29,High,Clear,14,61.6
368,Fine Dining,1,8.46,Medium,Rainy,5,55.4
369,Cafe,1,3.39,Low,Clear,21,40.9
370,Street Food,7,0.79,Low,Rainy,32,57.9
371,Casual Dining,6,8.65,Low,Clear,31,79.4
372,Cafe,7,7.25,High,Rainy,29,94.5
373,Casual Dining,6,10.02,Low,Stormy,38,100.3
374,Fine Dining,7,2.63,Low,Rainy,7,41.6
375,Fast Food,7,12.69,High,Stormy,33,104.5
376,Fine Dining,3,2.62,Low,Clear,39,66.0
377,Cafe,6,13.42,Medium,Snowy,14,103.5
378,Casual Dining,3,7.02,High,Stormy,5,70.9
379,Casual Dining,5,8.47,Medium,Clear,5,49.5
380,Street Food,3,13.5,Low,Clear,36,102.0
381,Casual Dining,1,4.85,Medium,Stormy,26,73.3
382,Street Food,4,3.14,Medium,Clear,23,58.6
383,Fast Food,4,6.96,Medium,Clear,39,81.8
384,Cafe,2,4.04,Low,Rainy,10,32.6
385,Street Food,2,8.15,Low,Clear,38,81.8
386,Fast Food,3,4.49,Medium,Rainy,19,59.9
387,Casual Dining,7,13.04,Low,Clear,7,72.1
388,Casual Dining,7,9.31,Medium,Clear,26,73.7
389,Fast Food,4,0.5,Medium,Clear,33,55.1
390,Casual Dining,1,12.18,Medium,Clear,18,82.8
391,Fast Food,6,5.29,High,Stormy,34,105.2
392,Street Food,1,5.14,Low,Rainy,19,49.9
393,Street Food,1,6.05,Low,Clear,33,62.2
394,Fast Food,3,9.64,Medium,Rainy,18,64.3
395,Street Food,3,6.91,Low,Rainy,7,50.4
396,Street Food,5,9.62,Medium,Stormy,26,96.0
397,Street Food,1,2.63,High,Rainy,37,79.8
398,Fine Dining,7,14.57,High,Clear,27,103.4
399,Cafe,7,11.08,Medium,Clear,11,71.9
400,Casual Dining,1,4.13,High,Stormy,24,81.0
401,Fine Dining,3,11.0,Low,Rainy,11,64.1
402,Street Food,3,8.84,Medium,Clear,21,77.6
403,Fast Food,5,2.08,Medium,Rainy,36,70.9
404,Street Food,5,3.08,Low,Clear,19,45.9
405,Cafe,2,1.1,Low,Clear,17,38.5
406,Street Food,4,12.23,High,Clear,7,71.8
407,Fast Food,1,8.5,Medium,Clear,29,70.0
408,Cafe,7,5.09,Medium,Rainy,36,73.1
409,Street Food,1,2.33,Low,Clear,20,47.7
410,Cafe,5,7.52,Low,Clear,5,55.7
411,Casual Dining,5,8.12,High,Clear,7,70.9
412,Casual Dining,2,10.68,Medium,Clear,24,70.8
413,Street Food,4,14.56,Medium,Clear,32,95.9
414,Cafe,2,6.81,High,Stormy,26,82.5
415,Fast Food,7,6.39,Medium,Clear,5,56.6
416,Street Food,4,5.86,Medium,Rainy,18,65.6
417,Casual Dining,6,12.49,Low,Clear,19,69.3
418,Casual Dining,1,2.77,Low,Stormy,36,80.6
419,Street Food,2,5.49,Medium,Clear,22,60.9
420,Cafe,5,11.01,Low,Clear,26,77.1
421,Casual Dining,2,0.73,Medium,Rainy,20,42.4
422,Cafe,6,4.7,Low,Rainy,15,52.8
423,Casual Dining,2,9.8,Low,Clear,11,56.0
424,Casual Dining,1,3.2,Medium,Clear,13,43.3
425,Fine Dining,6,4.89,Low,Clear,5,32.3
426,Casual Dining,5,7.55,High,Clear,12,57.4
427,Fast Food,5,6.62,Low,Clear,15,47.9
428,Street Food,3,2.04,Medium,Clear,9,38.5
429,Street Food,6,14.1,Low,Rainy,33,98.4
430,Cafe,3,1.14,Low,Snowy,10,44.4
431,Casual Dining,3,11.37,Low,Clear,16,74.1
432,Fast Food,1,1.54,High,Rainy,11,41.1
433,Cafe,2,7.28,Low,Clear,16,53.1
434,Fine Dining,5,3.04,High,Clear,37,72.1
435,Cafe,5,2.55,Low,Rainy,23,63.6
436,Cafe,2,2.33,Low,Rainy,23,50.6
437,Casual Dining,5,7.07,Medium,Snowy,25,89.9
438,Fine Dining,2,7.97,Medium,Rainy,23,76.4
439,Cafe,6,2.43,Medium,Clear,13,47.4
440,Fast Food,1,14.7,Low,Clear,26,73.4
441,Fast Food,1,4.24,Low,Rainy,23,65.5
442,Street Food,7,7.15,Medium,Clear,15,60.2
443,Fine Dining,1,3.64,High,Clear,29,71.6
444,Fine Dining,2,7.66,Low,Clear,39,96.1
445,Street Food,7,11.46,High,Stormy,9,89.8
446,Cafe,2,8.06,Low,Rainy,35,85.4
447,Fine Dining,4,4.64,Medium,Clear,18,59.7
448,Fast Food,7,4.1,Low,Snowy,17,70.6
449,Fast Food,5,11.5,Medium,Rainy,38,88.4
450,Casual Dining,5,2.21,Low,Clear,38,73.2
451,Fine Dining,4,5.86,Low,Clear,22,55.3
452,Cafe,4,2.7,High,Clear,10,51.6
453,Street Food,1,4.24,Medium,Clear,25,47.7
454,Street Food,4,2.71,Medium,Rainy,9,53.3
455,Cafe,2,13.36,Low,Stormy,6,75.9
456,Casual Dining,3,11.11,High,Clear,10,77.6
457,Street Food,2,8.63,Medium,Rainy,12,61.0
458,Fine Dining,7,3.75,High,Clear,6,42.8
459,Casual Dining,4,7.9,Low,Clear,27,60.8
460,Fine Dining,5,8.05,Low,Rainy,24,82.9
461,Fast Food,2,9.06,High,Clear,8,64.2
462,Casual Dining,5,1.37,Medium,Rainy,19,47.0
463,Street Food,2,14.61,High,Clear,34,108.0
464,Casual Dining,5,7.25,Low,Clear,24,62.0
465,Casual Dining,6,13.93,Medium,Clear,28,97.9
466,Casual Dining,2,0.64,High,Clear,13,47.2
467,Casual Dining,7,4.09,Medium,Clear,25,54.2
468,Fine Dining,5,2.01,Medium,Rainy,17,42.5
469,Fast Food,3,11.66,Low,Clear,9,58.4
470,Cafe,7,5.14,Low,Clear,18,59.9
471,Casual Dining,1,12.69,Low,Clear,11,55.6
472,Street Food,2,12.57,Medium,Rainy,10,70.2
473,Casual Dining,3,10.18,High,Clear,16,79.1
474,Street Food,1,10.15,Low,Rainy,20,64.6
475,Fine Dining,2,10.65,Medium,Clear,36,75.7
476,Street Food,3,10.27,High,Clear,15,84.5
477,Cafe,3,6.11,Low,Rainy,8,45.1
478,Fast Food,7,10.4,High,Clear,33,99.6
479,Street Food,6,13.51,High,Clear,38,113.4
480,Street Food,3,5.32,Low,Clear,13,44.9
481,Fast Food,6,14.2,Low,Rainy,14,85.2
482,Cafe,4,0.7,Low,Clear,12,35.4
483,Casual Dining,7,5.56,Medium,Clear,36,79.9
484,Street Food,5,2.42,Low,Clear,10,34.0
485,Fast Food,7,2.34,Medium,Clear,10,44.8
486,Fine Dining,1,12.32,Medium,Rainy,31,90.0
487,Fast Food,5,13.82,High,Clear,6,82.5
488,Fine Dining,5,11.78,High,Rainy,13,76.6
489,Cafe,6,14.66,High,Stormy,9,94.8
490,Casual Dining,5,3.64,Low,Clear,38,66.8
491,Fast Food,3,2.54,Low,Rainy,18,43.1
492,Street Food,6,8.05,Low,Clear,14,61.9
493,Cafe,5,12.52,Medium,Rainy,11,70.2
494,Fast Food,6,1.08,Medium,Clear,24,47.3
495,Street Food,4,14.94,High,Stormy,15,104.8
496,Fast Food,6,9.23,High,Clear,17,76.7
497,Fine Dining,2,14.69,Low,Rainy,21,89.6
498,Fast Food,3,5.79,Medium,Rainy,37,79.5
499,Fast Food,1,7.14,Low,Clear,14,56.2
500,Fast Food,2,11.41,Low,Clear,38,81.9
501,Cafe,2,11.99,High,Rainy,17,75.8
502,Fast Food,2,3.88,High,Clear,29,62.3
503,Street Food,5,13.98,Low,Stormy,37,100.9
504,Fine Dining,6,13.08,High,Stormy,14,106.2
505,Fine Dining,6,0.76,High,Rainy,28,62.7
